ts,elapsed_s,iters,errors,rps,p50_ms,p99_ms,max_ms
1780914924,60,2992,0,49.9,0.34,7.82,8.71
1780914984,120,5983,0,49.9,0.37,7.93,8.71
1780915044,180,8974,0,49.9,0.41,7.88,8.78
1780915104,240,11965,0,49.9,0.41,7.97,8.78
1780915164,300,14956,0,49.9,0.40,7.90,8.61
1780915224,360,17947,0,49.9,0.38,7.78,8.22
1780915284,420,20938,0,49.9,0.37,7.78,8.22
1780915344,480,23930,0,49.9,0.39,7.74,8.44
1780915404,540,26921,0,49.9,0.40,7.81,8.44
1780915464,600,29912,0,49.9,0.38,7.76,8.30
1780915524,660,32903,0,49.9,0.41,7.82,8.30
1780915584,720,35895,0,49.9,0.37,7.82,8.57
1780915644,780,38886,0,49.8,0.37,7.82,8.57
1780915704,840,41877,0,49.8,0.37,7.86,8.40
1780915764,900,44868,0,49.8,0.37,7.85,8.53
1780915824,960,47859,0,49.8,0.37,7.92,8.54
1780915884,1020,50850,0,49.8,0.41,7.93,8.54
1780915944,1080,53841,0,49.8,0.43,8.00,8.45
1780916004,1140,56832,0,49.8,0.41,7.98,8.45
1780916064,1200,59823,0,49.8,0.39,7.90,8.23
1780916124,1260,62814,0,49.8,0.40,7.93,8.51
1780916184,1320,65805,0,49.8,0.40,7.81,8.51
1780916244,1380,68796,0,49.8,0.37,7.76,8.19
1780916304,1440,71787,0,49.8,0.37,7.78,8.25
1780916364,1500,74778,0,49.8,0.41,7.81,8.29
1780916424,1560,77769,0,49.8,0.40,7.97,8.47
1780916484,1620,80760,0,49.8,0.41,7.95,8.55
1780916544,1680,83751,0,49.8,0.41,7.82,8.55
1780916604,1740,86742,0,49.8,0.41,7.78,8.42
1780916664,1800,89733,0,49.8,0.40,7.84,8.58
1780916724,1860,92724,0,49.8,0.39,7.86,8.37
1780916784,1920,95715,0,49.8,0.42,7.85,8.56
1780916844,1980,98706,0,49.8,0.40,7.95,8.50
1780916904,2040,101697,0,49.8,0.40,7.94,8.51
1780916964,2100,104688,0,49.8,0.42,8.03,8.63
1780917024,2160,107679,0,49.8,0.41,7.93,8.90
1780917084,2220,110670,0,49.8,0.39,7.86,8.73
1780917144,2280,113661,0,49.8,0.38,7.83,8.73
1780917204,2340,116652,0,49.8,0.42,8.00,8.35
1780917264,2400,119643,0,49.8,0.38,7.79,8.52
1780917324,2460,122634,0,49.8,0.39,7.88,8.77
1780917384,2520,125625,0,49.8,0.38,7.85,8.47
1780917444,2580,128616,0,49.8,0.38,7.89,8.47
1780917504,2640,131607,0,49.8,0.41,7.90,8.41
1780917564,2700,134598,0,49.8,0.42,7.97,8.76
1780917624,2760,137589,0,49.8,0.38,7.98,9.06
1780917684,2820,140580,0,49.8,0.38,7.90,8.46
1780917744,2880,143571,0,49.8,0.41,7.88,8.28
