ts,rss_kb,fds,threads,disk_kb
1780914864,4280,10,5,0
1780914924,59804,10,7,9984
1780914984,70240,11,7,9984
1780915044,68368,10,7,9984
1780915104,72352,11,7,9984
1780915164,80252,10,7,9984
1780915224,79388,10,7,9984
1780915284,71408,11,7,9984
1780915344,68924,10,7,9984
1780915404,72132,11,7,9984
1780915464,68888,10,7,9984
1780915524,69656,10,7,9984
1780915584,74068,11,7,9984
1780915644,75612,10,7,9984
1780915704,78800,10,7,9984
1780915764,76952,11,7,9984
1780915824,78056,10,7,9984
1780915884,79628,11,8,11700
1780915944,81316,10,8,9984
1780916004,78280,11,8,9984
1780916064,72168,10,8,9984
1780916124,74184,11,8,9984
1780916184,79500,10,8,9984
1780916244,75064,11,8,9984
1780916304,78796,10,8,9984
1780916364,76964,10,8,9984
1780916424,78108,11,8,9984
1780916484,76956,10,8,9984
1780916544,77384,11,8,9984
1780916604,77628,10,8,9984
1780916664,77628,10,8,9984
1780916724,77284,10,8,9984
1780916784,76516,10,8,9984
1780916844,72824,11,8,9984
1780916904,72824,10,8,9984
1780916964,72600,10,8,9984
1780917024,74812,10,8,9984
1780917084,72588,11,8,9984
1780917144,80496,10,8,9984
1780917204,77700,11,8,10668
1780917264,74512,10,8,9984
1780917324,77288,12,8,9984
1780917384,75344,10,8,9984
1780917444,73324,10,8,9984
1780917504,76000,10,8,9984
1780917564,74964,10,8,9984
1780917624,73088,11,8,9984
1780917685,72060,10,8,9984
1780917745,74568,11,8,9984
1780917805,71944,10,8,9984
1780917865,77048,11,8,9984
1780917925,76760,10,8,9984
1780917985,79932,11,8,9984
1780918045,72036,10,8,9984
1780918105,74956,11,8,9984
1780918165,74960,10,8,9984
1780918225,73256,12,8,9984
1780918285,75100,10,8,9984
1780918345,77496,10,8,9984
1780918405,78448,10,8,9984
1780918465,76492,10,8,9984
1780918525,74984,10,8,9984
1780918585,73976,10,8,9984
1780918645,77152,11,8,9984
1780918705,74992,10,8,9984
1780918765,77364,11,8,9984
1780918825,79892,10,8,9984
1780918885,74236,11,8,9984
1780918945,72888,10,8,9984
1780919005,71284,10,8,9984
1780919065,73080,10,8,9984
1780919125,79096,10,8,9984
1780919185,77100,11,8,9984
1780919245,79276,10,8,9984
1780919305,76552,10,8,9984
1780919365,75760,10,8,9984
1780919425,75924,10,8,9984
1780919485,75628,10,8,9984
1780919545,77216,10,8,9984
1780919605,73428,10,8,9984
1780919665,74600,10,8,9984
1780919725,75764,10,8,9984
1780919785,74580,11,8,9984
1780919845,73972,10,8,9984
1780919905,73936,11,8,9984
1780919965,72384,10,8,9984
1780920025,73508,11,8,9984
1780920085,73920,10,8,9984
1780920145,74084,10,8,9984
1780920205,75248,10,8,9984
1780920265,74148,10,8,9984
1780920325,74148,11,8,9984
1780920385,76772,10,8,9984
1780920445,78148,11,8,9984
1780920505,74636,10,8,9984
1780920565,74880,11,8,9984
1780920625,74996,10,8,9984
1780920685,78760,10,8,9984
1780920745,73020,10,8,9984
1780920805,75676,10,8,9984
1780920865,72704,10,8,9984
1780920925,72876,10,8,9984
1780920985,73356,11,8,9984
1780921045,71452,10,8,9984
1780921105,78652,11,8,9984
1780921165,73292,10,8,9984
1780921225,81364,12,8,9984
1780921285,74772,10,8,9984
1780921345,76184,10,8,9984
1780921405,76184,11,8,9984
1780921465,73804,10,8,9984
1780921525,75264,11,8,9984
1780921585,75504,10,8,9984
1780921645,74464,11,8,9984
